Titulo,Relator,Data de publicação,Data de julgamento,Órgão julgador,Ementa
Rcl 60154 AgR,ALEXANDRE DE MORAES,30/10/23,18/10/23,Primeira Turma,"Ementa: CONSTITUCIONAL E PROCESSUAL CIVIL. AGRAVO INTERNO NA RECLAMAÇÃO. AUSÊNCIA DE VIOLAÇÃO AO DECIDIDO NA ADPF 130. DECISÃO RECLAMADA QUE NÃO ESTABELECEU CENSURA PRÉVIA. EVENTUAIS ABUSOS NA MANIFESTAÇÃO DO PENSAMENTO DEVEM SER EXAMINADOS PELO PODER JUDICIÁRIO. AGRAVO DESPROVIDO.     1. A decisão combatida não impôs à reclamante nenhuma restrição que ofendesse a proteção da liberdade de manifestação em seu aspecto negativo, ou seja, não estabeleceu censura prévia. Ao contrário, julgou parcialmente procedente pedido do autor para que a reclamante realize a retirada das postagens de cunho difamatório, calunioso ou ultrajante e se abstenha de promover novas publicações com esse mesmo intuito, bem como a condenou ao pagamento de danos morais.    2. Não se vislumbra qualquer desrespeito ao decidido na ADPF 130 (Rel. Min. AYRES BRITTO). Eventuais abusos porventura ocorridos no exercício indevido da manifestação do pensamento são passíveis de exame e apreciação pelo Poder Judiciário, com a cessação das ofensas, direito de resposta e a fixação de consequentes responsabilidades civil e penal de seus autores.    3. Agravo interno a que se nega provimento."
ARE 660861 RG,LUIZ FUX,07/11/12,22/03/12,Tribunal Pleno,"GOOGLE – REDES SOCIAIS – SITES DE RELACIONAMENTO – PUBLICAÇÃO DE MENSAGENS NA INTERNET – CONTEÚDO OFENSIVO – RESPONSABILIDADE CIVIL DO PROVEDOR – DANOS MORAIS – INDENIZAÇÃO – COLISÃO ENTRE LIBERDADE DE EXPRESSÃO E DE INFORMAÇÃO vs. DIREITO À PRIVACIDADE, À INTIMIDADE, À HONRA E À IMAGEM. REPERCUSSÃO GERAL RECONHECIDA PELO PLENÁRIO VIRTUAL DESTA CORTE."
Pet 10625 AgR-segundo,ALEXANDRE DE MORAES,26/09/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).     3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
Pet 10714 AgR-segundo,ALEXANDRE DE MORAES,17/10/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).     3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
Pet 10800 AgR-segundo,ALEXANDRE DE MORAES,17/10/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).     3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
Pet 12623 AgR,ALEXANDRE DE MORAES,18/10/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).     3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
Pet 9935 AgR-vigésimo primeiro,ALEXANDRE DE MORAES,18/10/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).     3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
Pet 9935 AgR-décimo nono,ALEXANDRE DE MORAES,18/10/24,07/10/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. SÚMULA VINCULANTE 14. ACESSO AOS ELEMENTOS JÁ DOCUMENTADOS. RESSALVA DE ACESSO A DILIGÊNCIAS EM ANDAMENTO. AGRAVO REGIMENTAL A QUE SE NEGA PROVIMENTO.     1. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.     2. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.     3. Nos termos da SV 14 (É direito do defensor, no interesse do representado, ter acesso amplo aos elementos de prova que, já documentados em procedimento investigatório realizado por órgão com competência de polícia judiciária, digam respeito ao exercício do direito de defesa), ressalvado o acesso às diligências em andamento (HC 88.190, Rel. Min. CÉZAR PELUSO, Segunda Turma, DJ de 6/10/2006).    4. Inexistência de argumentos minimamente aptos a desconstituir os óbices apontados.    5. Agravo Regimental a que se nega provimento."
Pet 10464 AgR-segundo,ALEXANDRE DE MORAES,13/09/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).     3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
Pet 10975 AgR-segundo,ALEXANDRE DE MORAES,17/10/24,07/10/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. DESCUMPRIMENTO DAS MEDIDAS CAUTELARES DIVERSAS DA PRISÃO. BLOQUEIO DE BENS E ATIVOS FINANCEIROS. APLIAÇÃO DE MULTA DIÁRIA. MEDIDA NECESSÁRIA E ADEQUADA. AGRAVO REGIMENTAL A QUE SE NEGA PROVIMENTO.    1. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.     2. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    3. As condutas do agravante, que insiste em desrespeitar as medidas cautelares impostas nestes autos, revelam o seu completo desprezo pelo Poder Judiciário.     4. Imposição de multa diária para assegurar o devido cumprimento das decisões desta SUPREMA CORTE, não havendo qualquer justificativa para o desrespeito das medidas cautelares impostas.    5. Medidas de bloqueio de ativos financeiros do agravante nas instituições financeiras nacionais, com objetivo de assegurar o pagamento da multa.    6. Inexistência de argumentos minimamente aptos a desconstituir os óbices apontados.    7. Agravo regimental a que se nega provimento."
Pet 10800 AgR-quarto,ALEXANDRE DE MORAES,17/10/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).     3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
Pet 11954 AgR,ALEXANDRE DE MORAES,18/09/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).     3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
Pet 11022 AgR,ALEXANDRE DE MORAES,12/09/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).     3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
Pet 10685 AgR-décimo sétimo,ALEXANDRE DE MORAES,12/09/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).     3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
Pet 11548 AgR,ALEXANDRE DE MORAES,18/10/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).     3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
Pet 11977 AgR,ALEXANDRE DE MORAES,18/10/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).     3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
